subject_id,subject_name,topic_id,topic_name
anayasa_hukuku,Anayasa Hukuku,1onCZx8EEn6kThDBFjOp,Siyasi Haklar
anayasa_hukuku,Anayasa Hukuku,1v6eOxXJZDlRmtBh0P7S,Yargı
anayasa_hukuku,Anayasa Hukuku,49o0JIKSFeiJllSqVh5X,Milletvekilliği
anayasa_hukuku,Anayasa Hukuku,5dNANZOBYscfEvwzQhnA,TBMM'nin Görevleri
anayasa_hukuku,Anayasa Hukuku,6IHmz3ZjRGhQzIZWMgYI,Devletin Unsurları
anayasa_hukuku,Anayasa Hukuku,CuyjEu2K9AW3zZ9ocgpx,Bireysel Başvuru
anayasa_hukuku,Anayasa Hukuku,DcbBrZEN1YtxvxiwQSg7,Kanun Yapım Süreci
anayasa_hukuku,Anayasa Hukuku,K21jIydFGNO3YERmmnGi,Anayasa Hukukuna Giriş
anayasa_hukuku,Anayasa Hukuku,KNuKfHUxOxc2XhD158rx,Temel Hakların Niteliği
anayasa_hukuku,Anayasa Hukuku,Nfar0t7LeE6qlm0zaYjN,Anayasa Mahkemesi Görevleri
anayasa_hukuku,Anayasa Hukuku,NsT8yUjVjGvVj8LS4IPc,Sosyal ve Ekonomik Haklar
anayasa_hukuku,Anayasa Hukuku,VVLyHksPV80hcGo0LpNG,Kuvvetler Ayrılığı
anayasa_hukuku,Anayasa Hukuku,Ya9XwehVcCbRZgNW9Xap,Hakimler ve Savcılar Kurulu
anayasa_hukuku,Anayasa Hukuku,aDShawCH8AUEKzdhRiKe,Yürütme
anayasa_hukuku,Anayasa Hukuku,bTFMCGJFvTcA3GanDNX6,Hükümet Sistemleri
anayasa_hukuku,Anayasa Hukuku,f8MsedVFygU28fdYu0x8,Yargı Bağımsızlığı
anayasa_hukuku,Anayasa Hukuku,iYrrXrdz8nqIujdvjEoT,Cumhurbaşkanlığı Kararnameleri
anayasa_hukuku,Anayasa Hukuku,kYjzKQAjmCTsWn8rNfTt,Sınırlandırma Rejimi
anayasa_hukuku,Anayasa Hukuku,lIGLdQIlZdIvWDZ48M6x,Yasama
anayasa_hukuku,Anayasa Hukuku,mRzQRtOzHVlSvSUZqi8Y,Kişi Hakları
anayasa_hukuku,Anayasa Hukuku,qEN6KhdigPfR0wgCgb6P,Anayasa Kavramı
anayasa_hukuku,Anayasa Hukuku,qyJyS3u01x1hlTozZ0Iz,Temel Hak ve Özgürlükler
anayasa_hukuku,Anayasa Hukuku,rHX5Gx89sqFscSnro052,Olağanüstü Hal
anayasa_hukuku,Anayasa Hukuku,sAamvnPBCvtLPlq7OR8I,İptal Davası ve İtiraz Yolu
anayasa_hukuku,Anayasa Hukuku,uLrfjYQvVpnTiGEbXkzK,Bakanlar
anayasa_hukuku,Anayasa Hukuku,uXghyvNwIK0e32jYn0r0,Egemenlik
anayasa_hukuku,Anayasa Hukuku,uimKPUV6FpYpZXZnQJMy,Denetim Yolları
anayasa_hukuku,Anayasa Hukuku,xSeKwgqZEPC1aRhInGAU,Cumhurbaşkanı'nın Görevleri
avukatlik_hukuku,Avukatlık Hukuku,4yWMZRhNRh2f4pq8AssR,Disiplin İşlemleri
avukatlik_hukuku,Avukatlık Hukuku,5Z5HH5Uxt9kRqbpwJnHb,Baro Teşkilatı
avukatlik_hukuku,Avukatlık Hukuku,6NOEFLVIgmKbLqjMtL5e,Avukatlığa Kabul Şartları
avukatlik_hukuku,Avukatlık Hukuku,AAJevyHHCF14fLDQekFg,Avukatın Hak ve Yükümlülükleri
avukatlik_hukuku,Avukatlık Hukuku,BqxLZiE7VwsHNDy1mOYd,Uzlaştırmacı Avukat Görevlendirmesi
avukatlik_hukuku,Avukatlık Hukuku,Mwqr4jGYmFhzUfXW3gII,Avukatlık Ücreti
avukatlik_hukuku,Avukatlık Hukuku,YdsnUQCeRifY0s1kDUgb,Avukatın Hakları
avukatlik_hukuku,Avukatlık Hukuku,cQrIGh8qn4L7GwDMjkaM,Staj Şartları
avukatlik_hukuku,Avukatlık Hukuku,d6bNSb8uBxv3ezmCX2wl,Avukatın Yükümlülükleri
avukatlik_hukuku,Avukatlık Hukuku,e36wVnmAbT38oEesKFs8,9. Yargı Paketi (Avukatlık Mesleği Değişiklikleri)
avukatlik_hukuku,Avukatlık Hukuku,rd3TJFgd5CKr9EFHyCd4,Avukatlık Sözleşmesi
avukatlik_hukuku,Avukatlık Hukuku,twH9qmZAiBoaEZ9SN59R,Baro ve Disiplin
avukatlik_hukuku,Avukatlık Hukuku,uwhiNQJ3zIXhZvIr7hra,Avukatlık Mesleğine Giriş
avukatlik_hukuku,Avukatlık Hukuku,vtUWpSjb8K1yDyBJ9MOk,Avukatların Arabuluculuk Faaliyetleri
avukatlik_hukuku,Avukatlık Hukuku,x4JGhkWzOMXGEKdxHeYW,Türkiye Barolar Birliği
avukatlik_hukuku,Avukatlık Hukuku,xdYNGblIKoR3dO3ppjE9,Staj Süreci
borclar_hukuku,Borçlar Hukuku,6SbYrnAkToQgzJuEeIjs,Kusursuz Sorumluluk
borclar_hukuku,Borçlar Hukuku,71mGDRew7AGulKlD04FG,Tazminat
borclar_hukuku,Borçlar Hukuku,8gUqhJePPxVWpmJCbXyD,İade Borcu
borclar_hukuku,Borçlar Hukuku,GMHWgRdIaufo90yo1h1X,Sebepsiz Zenginleşme
borclar_hukuku,Borçlar Hukuku,HKud4FbgtSmkzpJUWiNw,Kira Sözleşmesi
borclar_hukuku,Borçlar Hukuku,KkxaUs0fBY8B7Rb6lDwa,Eser Sözleşmesi
borclar_hukuku,Borçlar Hukuku,LHg87deGAAKpQF4cDcMT,Borç İlişkisinin Kaynakları
borclar_hukuku,Borçlar Hukuku,NsbpfLGwnzVIbaX5vT1N,Özel Borç İlişkileri
borclar_hukuku,Borçlar Hukuku,OrL0j9U2r9Zbgbef7SFV,Geçersizlik Halleri
borclar_hukuku,Borçlar Hukuku,RDugW3HHJH5uzb3D9z2z,Hizmet Sözleşmesi
borclar_hukuku,Borçlar Hukuku,T0AcRj5GTPhnd9AZWDOu,Alacaklı Temerrüdü
borclar_hukuku,Borçlar Hukuku,Ti2EmVyu3ErVpAzIyr8L,Haksız Fiil
borclar_hukuku,Borçlar Hukuku,YJDrSUuQtrFclAK54MuD,Kusur Sorumluluğu
borclar_hukuku,Borçlar Hukuku,Z62WtUK17bryAwhnObTk,Borcun İfası ve Sona Ermesi
borclar_hukuku,Borçlar Hukuku,cRDMl11N9PU2U6ip9IGa,Sebepsiz Zenginleşme Şartları
borclar_hukuku,Borçlar Hukuku,d2lkzvX9e4bQyQnavfJS,Kefalet Sözleşmesi
borclar_hukuku,Borçlar Hukuku,ggG3lf4jswjgeWLLJrLU,Vekalet Sözleşmesi
borclar_hukuku,Borçlar Hukuku,isKagWLDN9MOhun4mLXl,Borçlu Temerrüdü
borclar_hukuku,Borçlar Hukuku,k3a7VJUeUU8dA3WFa3EP,Haksız Fiil Şartları
borclar_hukuku,Borçlar Hukuku,p4vxoy7l8TCzIfx2yhpr,Satış Sözleşmesi
borclar_hukuku,Borçlar Hukuku,qXO0DXzQKPGEbPyfEKBJ,Sözleşmenin Kurulması
borclar_hukuku,Borçlar Hukuku,qsQB0fkUsAmhlynbUXMk,Temsil
borclar_hukuku,Borçlar Hukuku,um0PSYX1XO9DVmMUiTzd,İfa
borclar_hukuku,Borçlar Hukuku,vdosmjP3lcMx97w63sgN,Zamanaşımı
borclar_hukuku,Borçlar Hukuku,wJSAxrrHFmiQFFvlxDJa,Sözleşmeden Doğan Borçlar
ceza_hukuku,Ceza Hukuku,1G0SSe26AjinyB2bZpKV,Devlete Karşı Suçlarda Yeni Düzenlemeler
ceza_hukuku,Ceza Hukuku,1dxYvO1faQZo5KGmHtDr,Şiddet Suçlarının Uzlaşma Kapsamından Çıkarılması
ceza_hukuku,Ceza Hukuku,77EzxIxhGk5PHXwmyKCN,Cezalar
ceza_hukuku,Ceza Hukuku,7Poe0MdG0sBkhzQyZAhG,Cinsel Suçlarda Etkin Pişmanlığın Sınırlandırılması
ceza_hukuku,Ceza Hukuku,7pIq6tOYTx1xnDm5gO5r,Cinsel Suçların Kapsamı
ceza_hukuku,Ceza Hukuku,Ala6tnxaxe3wm070WNiA,Güvenlik Tedbirleri
ceza_hukuku,Ceza Hukuku,En3PqxglaH8EPa2ppzqR,9. Yargı Paketi (TCK Değişiklikleri)
ceza_hukuku,Ceza Hukuku,FTx1UFmLkrqhIvEcknCa,Teşebbüs
ceza_hukuku,Ceza Hukuku,IMd11M5Sjv109ub5MR80,Suçun Genel Teorisi
ceza_hukuku,Ceza Hukuku,JE77mC8LdbSdQOaGjWwD,Ceza Kanunlarının Uygulanması
ceza_hukuku,Ceza Hukuku,Mwwog3W6fDGH22GJQQY0,Uzlaştırmanın Hukuki Etkileri
ceza_hukuku,Ceza Hukuku,PdBaO7NmP938pKbOZTpd,Ceza Hukukuna Giriş
ceza_hukuku,Ceza Hukuku,TZesCMFP3txOWcrqpMyC,Uzlaştırmacı Görevlendirme Usulleri
ceza_hukuku,Ceza Hukuku,VBWIHcwPH4nzAioToODA,Vücut Dokunulmazlığına Karşı Suçlar
ceza_hukuku,Ceza Hukuku,aSjZfusjVbtlXC9WWaWf,Hayata Karşı Suçlar
ceza_hukuku,Ceza Hukuku,aoEIURQoZd7HmLum8n0g,Casusluk Kapsamı Değişikliği
ceza_hukuku,Ceza Hukuku,asntaeqVhHShwTDTRb3B,İçtima
ceza_hukuku,Ceza Hukuku,bUU6Pf0BWUraCMbdERWm,İştirak
ceza_hukuku,Ceza Hukuku,cy4e3d3Okpkw45G8SvVq,Cinsel Suçlarda Cezaların Artırılması
ceza_hukuku,Ceza Hukuku,dMoRBnV7e1IyTlhaHAJ7,Uzlaştırma Kapsamı Dışına Alınan Suçlar
ceza_hukuku,Ceza Hukuku,e4s0AVC4UgDqH1fRVfLu,Malvarlığına Karşı Suçlar
ceza_hukuku,Ceza Hukuku,fgu0OkwdjQKKRY9eES4B,Suçun Özel Görünüş Şekilleri
ceza_hukuku,Ceza Hukuku,gCxkqxaWOvt7kiXfS2cY,Uzlaştırma Kapsamında Değişiklikler
ceza_hukuku,Ceza Hukuku,hDGPcmffZnkH0ad7TAwJ,Özel Suçlar
ceza_hukuku,Ceza Hukuku,jMdmMCXaxbUOswT7XC2F,Kamu İdaresine Karşı Suçlar
ceza_hukuku,Ceza Hukuku,kSG3YTGbHaW2PFB1Tjpz,Maddi Unsur
ceza_hukuku,Ceza Hukuku,nGVr2k0khi3Jwxk80HJJ,Suçta ve Cezada Kanunilik
ceza_hukuku,Ceza Hukuku,qR5TX6Yev9vD0vjw9t4u,Uzlaştırma Süresi ve Sonuçları
ceza_hukuku,Ceza Hukuku,sbgPLS2ySvV4y0u3sFag,Etki Ajanlığı (Influence Agent)
ceza_hukuku,Ceza Hukuku,tWclgcw14xUaJcZCWTTK,Ceza Hukukunun Temel İlkeleri
ceza_hukuku,Ceza Hukuku,uluC43Ph11JYYhHQIonO,Yaptırımlar
ceza_hukuku,Ceza Hukuku,vj1QRmMPkk4ZhW114fR9,Kusur
ceza_hukuku,Ceza Hukuku,y4m1re6r9aOtpDV18zQJ,Hukuka Aykırılık
ceza_hukuku,Ceza Hukuku,yqauRbGiDwpQjlmYi7xc,Koruma Tedbirlerinde Sıkılaştırma
ceza_hukuku,Ceza Hukuku,zm5uLYEOATzHDDcnQ6YW,Manevi Unsur
ceza_muhakemesi,Ceza Muhakemesi Hukuku,04U1w2pcTPBrXsYjJ0Ba,Tutuklama Şartlarında Değişiklik
ceza_muhakemesi,Ceza Muhakemesi Hukuku,092gLcv1kq40nMwMo599,CMK Temel İlkeleri
ceza_muhakemesi,Ceza Muhakemesi Hukuku,2WS4eHVPZW9z8NXoZkk0,Kovuşturma
ceza_muhakemesi,Ceza Muhakemesi Hukuku,33D0S6Dk5WVew9FCSQei,Ölçülülük İlkesi Kapsamında Revizyon
ceza_muhakemesi,Ceza Muhakemesi Hukuku,6bgrHNoVb8QWo9ys0i1A,Adli Kontrol
ceza_muhakemesi,Ceza Muhakemesi Hukuku,BjFUXmu2BVuUVFhTFQRm,9. Yargı Paketi (CMK Değişiklikleri)
ceza_muhakemesi,Ceza Muhakemesi Hukuku,CaYdLmgZIm5vYXGsearU,Soruşturma
ceza_muhakemesi,Ceza Muhakemesi Hukuku,K4Fio68x0bcXJDrkzOHq,Uzlaştırmada Süre-Yetki-Görevlendirme Değişiklikleri
ceza_muhakemesi,Ceza Muhakemesi Hukuku,KcgkOaKA9gKYZHxzNMI1,İtiraz
ceza_muhakemesi,Ceza Muhakemesi Hukuku,OriwYbDNr0YFDuHSe3Md,İddianame
ceza_muhakemesi,Ceza Muhakemesi Hukuku,RplaqAZ8VPHoFCILsxtx,Ceza Muhakemesine Giriş
ceza_muhakemesi,Ceza Muhakemesi Hukuku,TfZZf9YHFoK5ylkidsFx,İstinaf
ceza_muhakemesi,Ceza Muhakemesi Hukuku,WOzyZpMTKKZhy29SyBe4,Temyiz Sebeplerinin Genişletilmesi/Daraltılması
ceza_muhakemesi,Ceza Muhakemesi Hukuku,XwTcAAUtgBjGKL5YqKYg,Temyiz
ceza_muhakemesi,Ceza Muhakemesi Hukuku,YEKe4GFpq93pWf5MOjZE,Adli Kontrol Süreleri
ceza_muhakemesi,Ceza Muhakemesi Hukuku,aihHfV42boBVqyoCUnMt,İtiraz Sürelerinde Düzenleme
ceza_muhakemesi,Ceza Muhakemesi Hukuku,duSGBpSrHgExo7nmRtt2,Soruşturma Aşaması
ceza_muhakemesi,Ceza Muhakemesi Hukuku,e1IRyOCuOTeEB8BgL8c0,Savcı Gözetimindeki İşlemlerde Yeni Kurallar
ceza_muhakemesi,Ceza Muhakemesi Hukuku,fZkyqhiGqXkgwdhvEPfy,Yetki Kuralları
ceza_muhakemesi,Ceza Muhakemesi Hukuku,hptpNACN2umUzOtuMPuN,CMK'da Uzlaştırma Sürecinin Yeni Yapısı
ceza_muhakemesi,Ceza Muhakemesi Hukuku,hqECH7Lgy7vHQ6u40wlI,Arama-Elkoyma Kararlarında Yeni Düzenlemeler
ceza_muhakemesi,Ceza Muhakemesi Hukuku,iZs4UWA7z5Lwvmzee8i6,Deliller
ceza_muhakemesi,Ceza Muhakemesi Hukuku,jM9yI4SdoSallpQvdaBF,Arama ve Elkoyma
ceza_muhakemesi,Ceza Muhakemesi Hukuku,jMGXtkwg9cngWQ45TgrK,Delil Değerlendirmesi
ceza_muhakemesi,Ceza Muhakemesi Hukuku,l0BkebmuqAQS6nOIIdI0,İstinaf Başvuru Koşulları
ceza_muhakemesi,Ceza Muhakemesi Hukuku,nkTPEm0DOwpiKZGyTcRQ,Duruşma
ceza_muhakemesi,Ceza Muhakemesi Hukuku,pb8Ph7ClfMaIUyxTk55t,İletişimin Denetlenmesi Hükümleri
ceza_muhakemesi,Ceza Muhakemesi Hukuku,r75AO5SvwDPTYCyuDas7,İletişimin Denetlenmesi
ceza_muhakemesi,Ceza Muhakemesi Hukuku,sTZPmuHUvL7w75xpIzgz,İfade Alma-Sorgu Usulü Değişiklikleri
ceza_muhakemesi,Ceza Muhakemesi Hukuku,u9MBIe1G88PKmnSqeqeM,Kolluğun Yetkilerinde Düzenleme
ceza_muhakemesi,Ceza Muhakemesi Hukuku,usxqmM5emw1D5ZmyuWs5,Dijital Delil Toplama Usulleri
ceza_muhakemesi,Ceza Muhakemesi Hukuku,xlZleQzaYS6QHV4hXEvn,Kanun Yolları
ceza_muhakemesi,Ceza Muhakemesi Hukuku,yH5A44ekQnfjJyx6ttMC,Gözaltı
ceza_muhakemesi,Ceza Muhakemesi Hukuku,yOn8gEn6yAc1LMpMakQm,Hüküm
ceza_muhakemesi,Ceza Muhakemesi Hukuku,zS92cceKFVr9FTDH4RRl,Tutuklama
hukuk_felsefesi,Hukuk Felsefesi ve Sosyolojisi,3Oa6uyBALGV1TODpn2EP,Hukuk ve Toplum İlişkisi
hukuk_felsefesi,Hukuk Felsefesi ve Sosyolojisi,59tyR9oHrkfgpvirwJSy,Hukuki Pozitivizm
hukuk_felsefesi,Hukuk Felsefesi ve Sosyolojisi,7M1kqR3RvuDbfIpHQswn,Hukuk Sosyolojisi
hukuk_felsefesi,Hukuk Felsefesi ve Sosyolojisi,CCUm69PgEchoZxSJcgpd,Hukuk Felsefesi
hukuk_felsefesi,Hukuk Felsefesi ve Sosyolojisi,YPrp4lH9xABA4Lj9QqoB,Doğal Hukuk
hukuk_felsefesi,Hukuk Felsefesi ve Sosyolojisi,ch9hv2gNC982FpPRSEGY,Hukukun İşlevleri
icra_iflas,İcra ve İflas Hukuku,1mNlXmAikIRV88p3SakK,Konkordato
icra_iflas,İcra ve İflas Hukuku,2IWLqdH9uxvfBdzH7pm7,Kambiyo Senetlerine Özgü Takipte Değişiklikler
icra_iflas,İcra ve İflas Hukuku,3BpG9fUyQ6KJawRZv14V,Kiralanan Taşınmazların Tahliyesi
icra_iflas,İcra ve İflas Hukuku,86QKHBrXJR0tQI6IeJE9,Konkordato Sürecinde İyileştirme Hükümleri
icra_iflas,İcra ve İflas Hukuku,ApYg8dbvBNexG71V4NWN,İcra Takip Yolları
icra_iflas,İcra ve İflas Hukuku,B5AFcfTUV2I6EPvWHxOc,İlamsız Takipte Yeni Düzenlemeler
icra_iflas,İcra ve İflas Hukuku,EvdpmRdk41hfJg0hOfbi,Satış İlanı Kuralları
icra_iflas,İcra ve İflas Hukuku,FNmqo5Kl0sLoGEqyYSbg,İlamlı Takip
icra_iflas,İcra ve İflas Hukuku,GGxRXR495huxg0TFkXkw,İflas Sebepleri
icra_iflas,İcra ve İflas Hukuku,J5pOhq2yXPHMM3xHRZFG,Kiralanan Taşınmaz Tahliyesi Prosedürü
icra_iflas,İcra ve İflas Hukuku,JSWNgrEAYAH9QbhfMpMJ,İflas
icra_iflas,İcra ve İflas Hukuku,JxguOKdUFTzSJqHvzZtn,Taşınır Rehni
icra_iflas,İcra ve İflas Hukuku,OWc21Z9QMkvDoyx53b1X,Elektronik Satış Usulü
icra_iflas,İcra ve İflas Hukuku,PyPwtUnP5ncvmkjXR7K3,Rehnin Paraya Çevrilmesi
icra_iflas,İcra ve İflas Hukuku,Q4Rm8AtZd7UKTgofYerk,9. Yargı Paketi (İİK Değişiklikleri)
icra_iflas,İcra ve İflas Hukuku,RBplAeiGvPNAsYY8bRtW,Rehinli Malların Satış Usulü
icra_iflas,İcra ve İflas Hukuku,RqVnfkGb7YZRDtpqC12l,İflas Karar Süreçlerinde Değişiklikler
icra_iflas,İcra ve İflas Hukuku,U0WVHZ6Xa0IPukoH8W1y,Haczi Caiz Olmayan Mallar
icra_iflas,İcra ve İflas Hukuku,Uz7S1pLuL8Nrarj240PT,Konkordato Süreci
icra_iflas,İcra ve İflas Hukuku,V63OOFd6ZwDp0woveZX7,Haciz İşlemi
icra_iflas,İcra ve İflas Hukuku,X9Rurt4961aSSP3Uu2CB,İlamsız Takip
icra_iflas,İcra ve İflas Hukuku,XcO4vpvKHsasMFNldRlO,Paraya Çevirme Süreleri
icra_iflas,İcra ve İflas Hukuku,b5ttGvEpPdtRCs0NlwIf,İflas Tasfiyesi
icra_iflas,İcra ve İflas Hukuku,cpDWfMAleIU3WslyHrHj,İstihkak
